State,Confirmed,Discharged,Death,Date
Kano,0,0,0,04/11/2020
Kano,3,0,0,05/11/2020
Kano,0,1,0,06/11/2020
Kano,1,0,0,07/11/2020
Kano,0,0,0,08/11/2020
Kano,0,1,0,09/11/2020
Kano,0,0,0,10/11/2020
Kano,0,0,0,11/11/2020
Kano,1,0,0,12/11/2020
Kano,2,0,0,13/11/2020
Kano,1,0,0,14/11/2020
Kano,4,2,0,15/11/2020
Kano,15,1,0,16/11/2020
Kano,0,0,0,17/11/2020
Kano,6,0,1,18/11/2020
Kano,15,0,1,19/11/2020
Kano,5,0,0,20/11/2020
Kano,9,0,0,21/11/2020
Kano,8,2,0,22/11/2020
Kano,3,4,0,23/11/2020
Kano,1,0,0,24/11/2020
Kano,4,5,0,25/11/2020
Kano,8,0,0,26/11/2020
Kano,2,0,0,27/11/2020
Kano,3,2,0,28/11/2020
Kano,1,4,0,29/11/2020
Kano,0,0,1,30/11/2020
Kano,2,0,0,01/12/2020
Kano,1,0,0,02/12/2020
Kano,1,0,0,03/12/2020
Kano,4,0,0,04/12/2020
Kano,2,8,0,05/12/2020
Kano,14,0,0,06/12/2020
Kano,7,0,1,07/12/2020
Kano,15,0,0,08/12/2020
Kano,0,0,0,09/12/2020
Kano,33,4,1,10/12/2020
Kano,6,6,0,11/12/2020
Kano,12,0,0,12/12/2020
Kano,12,8,0,13/12/2020
Kano,0,0,0,14/12/2020
Kano,9,4,0,15/12/2020
Kano,52,5,0,16/12/2020
Kano,23,4,0,17/12/2020
Kano,15,12,0,18/12/2020
Kano,13,0,0,19/12/2020
Kano,16,22,0,20/12/2020
Kano,25,0,1,21/12/2020
Kano,24,5,1,22/12/2020
Kano,19,9,0,23/12/2020
Kano,33,28,0,24/12/2020
Kano,1,5,2,25/12/2020
Kano,35,0,0,26/12/2020
Kano,25,10,1,27/12/2020
Kano,18,13,1,28/12/2020
Kano,19,13,1,29/12/2020
Kano,18,13,1,30/12/2020
Kano,19,13,1,31/12/2020
Kano,18,13,1,01/01/2021
Kano,19,14,1,02/01/2021
Kano,18,13,1,03/01/2021
Kano,40,48,0,04/01/2021
Kano,3,0,0,05/01/2021
Kano,12,27,0,06/01/2021
Kano,10,0,0,07/01/2021
Kano,29,32,2,08/01/2021
Kano,17,0,0,09/01/2021
Kano,9,18,0,10/01/2021
Kano,16,0,0,11/01/2021
Kano,0,38,0,12/01/2021
Kano,71,52,0,13/01/2021
Kano,0,10,0,14/01/2021
Kano,117,0,0,15/01/2021
Kano,116,18,0,16/01/2021
Kano,57,14,0,17/01/2021
Kano,26,27,0,18/01/2021
Kano,19,62,1,19/01/2021
Kano,17,0,1,20/01/2021
Kano,31,10,1,21/01/2021
Kano,46,46,0,22/01/2021
Kano,40,22,0,23/01/2021
Kano,26,38,0,24/01/2021
Kano,41,27,0,25/01/2021
Kano,25,4,1,26/01/2021
Kano,27,0,2,27/01/2021
Kano,24,68,0,28/01/2021
Kano,18,3,1,29/01/2021
Kano,21,38,0,30/01/2021
Kano,40,26,2,31/01/2021
Kano,3,0,2,01/02/2021
Kano,15,103,1,02/02/2021
Kano,27,0,0,03/02/2021
Kano,31,51,6,04/02/2021
Kano,18,27,1,05/02/2021
Kano,49,64,1,06/02/2021
Kano,14,38,2,07/02/2021
Kano,19,32,2,08/02/2021
Kano,22,24,1,09/02/2021
Kano,59,6,0,10/02/2021
Kano,26,62,0,11/02/2021
Kano,14,42,0,12/02/2021
Kano,19,48,0,13/02/2021
Kano,13,27,0,14/02/2021
