State,Confirmed,Discharged,Death,Date
FCT_Abuja,17,6,0,22/09/2020
FCT_Abuja,15,5,1,23/09/2020
FCT_Abuja,18,46,0,24/09/2020
FCT_Abuja,29,23,0,25/09/2020
FCT_Abuja,0,0,0,26/09/2020
FCT_Abuja,9,31,0,27/09/2020
FCT_Abuja,3,3,0,28/09/2020
FCT_Abuja,19,5,0,29/09/2020
FCT_Abuja,13,7,1,30/09/2020
FCT_Abuja,11,0,0,01/10/2020
FCT_Abuja,7,5,0,02/10/2020
FCT_Abuja,18,2,0,03/10/2020
FCT_Abuja,1,0,0,04/10/2020
FCT_Abuja,12,14,0,05/10/2020
FCT_Abuja,0,213,0,06/10/2020
FCT_Abuja,7,8,0,07/10/2020
FCT_Abuja,19,2,0,08/10/2020
FCT_Abuja,6,2,0,09/10/2020
FCT_Abuja,15,2,0,10/10/2020
FCT_Abuja,1,2,0,11/10/2020
FCT_Abuja,26,10,0,12/10/2020
FCT_Abuja,17,4,0,13/10/2020
FCT_Abuja,9,1,0,14/10/2020
FCT_Abuja,25,0,0,15/10/2020
FCT_Abuja,21,47,0,16/10/2020
FCT_Abuja,6,0,0,17/10/2020
FCT_Abuja,13,0,0,18/10/2020
FCT_Abuja,11,9,0,19/10/2020
FCT_Abuja,3,7,0,20/10/2020
FCT_Abuja,10,5,0,21/10/2020
FCT_Abuja,4,7,0,22/10/2020
FCT_Abuja,9,10,0,23/10/2020
FCT_Abuja,5,6,0,24/10/2020
FCT_Abuja,7,6,0,25/10/2020
FCT_Abuja,18,1,0,26/10/2020
FCT_Abuja,19,1,0,27/10/2020
FCT_Abuja,17,1,1,28/10/2020
FCT_Abuja,16,1,0,29/10/2020
FCT_Abuja,19,1,0,30/10/2020
FCT_Abuja,17,2,1,31/10/2020
FCT_Abuja,19,1,0,01/11/2020
FCT_Abuja,17,7,0,02/11/2020
FCT_Abuja,17,7,0,03/11/2020
FCT_Abuja,17,7,0,04/11/2020
FCT_Abuja,17,7,1,05/11/2020
FCT_Abuja,17,7,0,06/11/2020
FCT_Abuja,17,7,0,07/11/2020
FCT_Abuja,18,8,0,08/11/2020
FCT_Abuja,24,49,0,09/11/2020
FCT_Abuja,21,11,0,10/11/2020
FCT_Abuja,19,381,0,11/11/2020
FCT_Abuja,19,3,0,12/11/2020
FCT_Abuja,22,1,0,13/11/2020
FCT_Abuja,27,20,0,14/11/2020
FCT_Abuja,1,7,0,15/11/2020
FCT_Abuja,0,49,0,16/11/2020
FCT_Abuja,64,11,0,17/11/2020
FCT_Abuja,5,381,0,18/11/2020
FCT_Abuja,2,3,0,19/11/2020
FCT_Abuja,0,1,0,20/11/2020
FCT_Abuja,0,20,0,21/11/2020
FCT_Abuja,8,7,0,22/11/2020
FCT_Abuja,17,7,1,23/11/2020
FCT_Abuja,61,13,0,24/11/2020
FCT_Abuja,53,26,0,25/11/2020
FCT_Abuja,42,4,0,26/11/2020
FCT_Abuja,73,2,0,27/11/2020
FCT_Abuja,23,6,0,28/11/2020
FCT_Abuja,3,2,0,29/11/2020
FCT_Abuja,0,0,0,30/11/2020
FCT_Abuja,64,5,0,01/12/2020
FCT_Abuja,0,0,0,02/12/2020
FCT_Abuja,123,189,0,03/12/2020
FCT_Abuja,110,14,0,04/12/2020
FCT_Abuja,128,7,0,05/12/2020
FCT_Abuja,50,7,0,06/12/2020
FCT_Abuja,89,8,0,07/12/2020
FCT_Abuja,168,2,0,08/12/2020
FCT_Abuja,180,4,1,09/12/2020
FCT_Abuja,183,5,0,10/12/2020
FCT_Abuja,258,72,0,11/12/2020
FCT_Abuja,181,8,4,12/12/2020
FCT_Abuja,86,11,0,13/12/2020
FCT_Abuja,0,0,0,14/12/2020
FCT_Abuja,305,15,0,15/12/2020
FCT_Abuja,179,66,0,16/12/2020
FCT_Abuja,145,21,0,17/12/2020
FCT_Abuja,255,1,0,18/12/2020
FCT_Abuja,207,0,3,19/12/2020
FCT_Abuja,112,208,2,20/12/2020
FCT_Abuja,79,23,0,21/12/2020
FCT_Abuja,416,9,0,22/12/2020
FCT_Abuja,357,120,1,23/12/2020
FCT_Abuja,210,21,1,24/12/2020
FCT_Abuja,77,2,1,25/12/2020
FCT_Abuja,291,0,0,26/12/2020
FCT_Abuja,297,12,0,27/12/2020
FCT_Abuja,109,100,1,28/12/2020
FCT_Abuja,108,101,2,29/12/2020
FCT_Abuja,110,102,1,30/12/2020
FCT_Abuja,108,101,1,31/12/2020
FCT_Abuja,108,101,1,01/01/2021
FCT_Abuja,108,101,1,02/01/2021
FCT_Abuja,110,102,1,03/01/2021
FCT_Abuja,200,6,0,04/01/2021
FCT_Abuja,145,137,0,05/01/2021
FCT_Abuja,407,7,2,06/01/2021
FCT_Abuja,236,11,1,07/01/2021
FCT_Abuja,153,5,0,08/01/2021
FCT_Abuja,182,5,2,09/01/2021
FCT_Abuja,42,17,0,10/01/2021
FCT_Abuja,125,8,1,11/01/2021
FCT_Abuja,234,46,1,12/01/2021
FCT_Abuja,131,2,0,13/01/2021
FCT_Abuja,201,8,0,14/01/2021
FCT_Abuja,199,0,0,15/01/2021
FCT_Abuja,206,5,7,16/01/2021
FCT_Abuja,54,2841,0,17/01/2021
FCT_Abuja,102,9,0,18/01/2021
FCT_Abuja,209,178,0,19/01/2021
FCT_Abuja,116,2,0,20/01/2021
FCT_Abuja,246,20,1,21/01/2021
FCT_Abuja,235,22,0,22/01/2021
FCT_Abuja,176,15,0,23/01/2021
FCT_Abuja,88,10,2,24/01/2021
FCT_Abuja,75,11,0,25/01/2021
FCT_Abuja,211,2,3,26/01/2021
FCT_Abuja,285,8,1,27/01/2021
FCT_Abuja,129,1,1,28/01/2021
FCT_Abuja,95,6,0,29/01/2021
FCT_Abuja,298,8,0,30/01/2021
FCT_Abuja,0,5,0,31/01/2021
FCT_Abuja,50,9,1,01/02/2021
FCT_Abuja,158,8,0,02/02/2021
FCT_Abuja,172,1,0,03/02/2021
FCT_Abuja,320,448,0,04/02/2021
FCT_Abuja,83,4,0,05/02/2021
FCT_Abuja,150,12,0,06/02/2021
FCT_Abuja,28,9,1,07/02/2021
FCT_Abuja,34,4,0,08/02/2021
FCT_Abuja,116,102,0,09/02/2021
FCT_Abuja,194,4,6,10/02/2021
FCT_Abuja,123,2,0,11/02/2021
FCT_Abuja,75,10,3,12/02/2021
FCT_Abuja,157,6,0,13/02/2021
FCT_Abuja,29,2,0,14/02/2021
FCT_Abuja,41,5,1,15/02/2021
FCT_Abuja,148,126,0,16/02/2021
FCT_Abuja,58,4,0,17/02/2021
FCT_Abuja,15,7,1,18/02/2021
FCT_Abuja,116,4,0,19/02/2021
FCT_Abuja,50,0,0,20/02/2021
FCT_Abuja,15,9,1,21/02/2021
FCT_Abuja,24,1,2,22/02/2021
FCT_Abuja,45,61,1,23/02/2021
FCT_Abuja,51,6,0,24/02/2021
FCT_Abuja,33,7,0,25/02/2021
FCT_Abuja,38,0,1,26/02/2021
FCT_Abuja,17,5,0,27/02/2021
FCT_Abuja,8,4,1,28/02/2021
FCT_Abuja,23,70,1,01/03/2021
FCT_Abuja,40,1,3,02/03/2021
FCT_Abuja,18,5,0,03/03/2021
FCT_Abuja,21,0,1,04/03/2021
FCT_Abuja,15,0,0,05/03/2021
FCT_Abuja,7,4,3,06/03/2021
FCT_Abuja,15,3,0,07/03/2021
FCT_Abuja,23,1,0,08/03/2021
FCT_Abuja,24,28,0,09/03/2021
FCT_Abuja,32,4,1,10/03/2021
FCT_Abuja,11,1858,0,11/03/2021
FCT_Abuja,7,831,0,12/03/2021
FCT_Abuja,22,439,0,13/03/2021
FCT_Abuja,1,500,0,14/03/2021
FCT_Abuja,9,34,1,15/03/2021
FCT_Abuja,11,0,0,16/03/2021
FCT_Abuja,13,69,0,17/03/2021
FCT_Abuja,10,1,0,18/03/2021
FCT_Abuja,12,193,0,19/03/2021
FCT_Abuja,22,4,0,20/03/2021
FCT_Abuja,33,2,0,21/03/2021
FCT_Abuja,0,23,0,22/03/2021
FCT_Abuja,0,121,0,23/03/2021
FCT_Abuja,0,121,0,24/03/2021
FCT_Abuja,0,1015,1,25/03/2021
FCT_Abuja,0,15,0,26/03/2021
FCT_Abuja,0,0,0,27/03/2021
FCT_Abuja,16,0,0,28/03/2021
FCT_Abuja,0,0,0,29/03/2021
